feature,importance
trail_dow_4,0.8901498114791877
trail_28,0.032932322829854824
precip_in,0.020450471355417776
dow_ratio,0.008463465317227204
dow,0.007831077703098932
trail_7,0.00722328436517872
temp_f,0.0065991947418534425
day_index,0.004741449313594502
store_code,0.004729251297675364
day_of_month,0.004170051011645757
format_code,0.0032638492695166253
tier_code,0.0027396755213387977
daypart_code,0.0024002423161201417
is_weekend,0.002167585471040082
region_code,0.0013319259008558642
is_payday,0.0004229252818803181
pos_code,0.00038341682451406193
